A4GNT_+_137851178.23-P1P2|A4GNT_-_137851117.23-P1P2++A4GNT_+_137851178.23-P1P2|A4GNT_-_137851117.23-P1P2,4
AAGAB_-_67546997.23-P1P2|AAGAB_-_67546928.23-P1P2++AAGAB_-_67546997.23-P1P2|AAGAB_-_67546928.23-P1P2,5
ABCA7_+_1041311.23-P2|ABCA7_-_1041459.23-P2++ABCA7_+_1041311.23-P2|ABCA7_-_1041459.23-P2,8
ABCB10_+_229694285.23-P1P2|ABCB10_-_229694297.23-P1P2++ABCB10_+_229694285.23-P1P2|ABCB10_-_229694297.23-P1P2,1
ABCC5_-_183735467.23-P1P2|ABCC5_+_183735648.23-P1P2++ABCC5_-_183735467.23-P1P2|ABCC5_+_183735648.23-P1P2,1
ABL1_-_133589228.23-ENST00000372348.2|ABL1_-_133589216.23-ENST00000372348.2++ABL1_-_133589228.23-ENST00000372348.2|ABL1_-_133589216.23-ENST00000372348.2,1
ABRA_+_107782422.23-P1P2|ABRA_+_107782407.23-P1P2++ABRA_+_107782422.23-P1P2|ABRA_+_107782407.23-P1P2,2
ACACB_-_109592519.23-P2|ACACB_-_109592496.23-P2++ACACB_-_109592519.23-P2|ACACB_-_109592496.23-P2,1
ACAD10_-_112123907.23-P1P2|ACAD10_-_112123894.23-P1P2++ACAD10_-_112123907.23-P1P2|ACAD10_-_112123894.23-P1P2,6
ACO2_+_41865228.23-P1P2|ACO2_+_41865345.23-P1P2++ACO2_+_41865228.23-P1P2|ACO2_+_41865345.23-P1P2,1
ACOT6_+_74077704.23-P1P2|ACOT6_+_74077926.23-P1P2++ACOT6_+_74077704.23-P1P2|ACOT6_+_74077926.23-P1P2,1
ACTL6B_+_100253966.23-P1P2|ACTL6B_+_100253969.23-P1P2++ACTL6B_+_100253966.23-P1P2|ACTL6B_+_100253969.23-P1P2,3
ACTN1_-_69445956.23-P1P2|ACTN1_-_69445944.23-P1P2++ACTN1_-_69445956.23-P1P2|ACTN1_-_69445944.23-P1P2,2
ACTR5_-_37377178.23-P1P2|ACTR5_+_37377152.23-P1P2++ACTR5_-_37377178.23-P1P2|ACTR5_+_37377152.23-P1P2,1
ACVR2A_+_148602343.23-P1P2|ACVR2A_-_148602102.23-P1P2++ACVR2A_+_148602343.23-P1P2|ACVR2A_-_148602102.23-P1P2,1
ACYP1_-_75536179.23-P2|ACYP1_-_75536194.23-P2++ACYP1_-_75536179.23-P2|ACYP1_-_75536194.23-P2,1
ADAMTS10_+_8675562.23-P1P2|ADAMTS10_+_8675559.23-P1P2++ADAMTS10_+_8675562.23-P1P2|ADAMTS10_+_8675559.23-P1P2,4
ADA_+_43280285.23-P1P2|ADA_+_43280282.23-P1P2++ADA_+_43280285.23-P1P2|ADA_+_43280282.23-P1P2,1
ADCY5_+_123168382.23-P1P2|ADCY5_-_123168354.23-P1P2++ADCY5_+_123168382.23-P1P2|ADCY5_-_123168354.23-P1P2,3
ADI1_+_3523275.23-P1P2|ADI1_-_3523293.23-P1P2++ADI1_+_3523275.23-P1P2|ADI1_-_3523293.23-P1P2,1
ADIPOR1_+_202927394.23-P1P2|ADIPOR1_-_202927375.23-P1P2++ADIPOR1_+_202927394.23-P1P2|ADIPOR1_-_202927375.23-P1P2,2
ADORA1_+_203097472.23-P1P2|ADORA1_+_203097450.23-P1P2++ADORA1_+_203097472.23-P1P2|ADORA1_+_203097450.23-P1P2,1
ADORA1_+_203097472.23-P1P2|ADORA1_+_203097450.23-P1P2++KCNQ2_+_62103935.23-P1P2|KCNQ2_+_62103790.23-P1P2,2
ADPRHL2_+_36554555.23-P1P2|ADPRHL2_-_36554523.23-P1P2++ADPRHL2_+_36554555.23-P1P2|ADPRHL2_-_36554523.23-P1P2,2
ADPRM_-_10600988.23-P1P2|ADPRM_+_10600958.23-P1P2++ADPRM_-_10600988.23-P1P2|ADPRM_+_10600958.23-P1P2,2
