ABCA2_-_139922596.23-P1P2|ABCA2_+_139922669.23-P1P2++ABCA2_-_139922596.23-P1P2|ABCA2_+_139922669.23-P1P2,3
ABL1_-_133589228.23-ENST00000372348.2|ABL1_-_133589216.23-ENST00000372348.2++ABL1_-_133589228.23-ENST00000372348.2|ABL1_-_133589216.23-ENST00000372348.2,2
ACAT1_+_107992310.23-P1P2|ACAT1_+_107992321.23-P1P2++ACAT1_+_107992310.23-P1P2|ACAT1_+_107992321.23-P1P2,1
ACER2_+_19409007.23-P1P2|ACER2_-_19409274.23-P1P2++ACER2_+_19409007.23-P1P2|ACER2_-_19409274.23-P1P2,3
ACSL1_+_185747071.23-P1P2|ACSL1_+_185747074.23-P1P2++ACSL1_+_185747071.23-P1P2|ACSL1_+_185747074.23-P1P2,7
ACY3_-_67418149.23-P1|ACY3_+_67418110.23-P1++ACY3_-_67418149.23-P1|ACY3_+_67418110.23-P1,1
ADAM28_+_24151604.23-P1P2|ADAM28_+_24151646.23-P1P2++ADAM28_+_24151604.23-P1P2|ADAM28_+_24151646.23-P1P2,3
ADAMTS10_+_8675562.23-P1P2|ADAMTS10_+_8675559.23-P1P2++ADAMTS10_+_8675562.23-P1P2|ADAMTS10_+_8675559.23-P1P2,2
ADCK3_-_227128046.23-P1P2|ADCK3_-_227128055.23-P1P2++ADCK3_-_227128046.23-P1P2|ADCK3_-_227128055.23-P1P2,1
ADCY4_-_24804227.23-P1P2|ADCY4_-_24804233.23-P1P2++ADCY4_-_24804227.23-P1P2|ADCY4_-_24804233.23-P1P2,1
ADH7_+_100356481.23-P1P2|ADH7_+_100356385.23-P1P2++ADH7_+_100356481.23-P1P2|ADH7_+_100356385.23-P1P2,2
ADHFE1_-_67344732.23-P1P2|ADHFE1_-_67344792.23-P1P2++ADHFE1_-_67344732.23-P1P2|ADHFE1_-_67344792.23-P1P2,3
ADORA1_+_203097472.23-P1P2|ADORA1_+_203097450.23-P1P2++ADORA1_+_203097472.23-P1P2|ADORA1_+_203097450.23-P1P2,1
ADORA1_+_203097472.23-P1P2|ADORA1_+_203097450.23-P1P2++KCNQ2_+_62103935.23-P1P2|KCNQ2_+_62103790.23-P1P2,1
ADPRM_-_10600988.23-P1P2|ADPRM_+_10600958.23-P1P2++ADPRM_-_10600988.23-P1P2|ADPRM_+_10600958.23-P1P2,2
ALB_+_74275112.23-P2|ALB_+_74275099.23-P2++ALB_+_74275112.23-P2|ALB_+_74275099.23-P2,2
ALDH2_+_112204799.23-P1P2|ALDH2_+_112204778.23-P1P2++ALDH2_+_112204799.23-P1P2|ALDH2_+_112204778.23-P1P2,3
ALKBH8_+_107436405.23-P1P2|ALKBH8_+_107436425.23-P1P2++ALKBH8_+_107436405.23-P1P2|ALKBH8_+_107436425.23-P1P2,2
ALPP_+_233243502.23-P1P2|ALPP_+_233243599.23-P1P2++RUFY2_-_70166927.23-P1P2|RUFY2_-_70166840.23-P1P2,1
ALS2CL_+_46735125.23-P1P2|ALS2CL_+_46735113.23-P1P2++ALS2CL_+_46735125.23-P1P2|ALS2CL_+_46735113.23-P1P2,3
AMDHD1_+_96337113.23-P1P2|AMDHD1_-_96337132.23-P1P2++AMDHD1_+_96337113.23-P1P2|AMDHD1_-_96337132.23-P1P2,1
AMMECR1L_+_128643208.23-P1P2|AMMECR1L_-_128643556.23-P1P2++AMMECR1L_+_128643208.23-P1P2|AMMECR1L_-_128643556.23-P1P2,3
ANGPTL1_+_178840213.23-P1P2|ANGPTL1_-_178840143.23-P1P2++ANGPTL1_+_178840213.23-P1P2|ANGPTL1_-_178840143.23-P1P2,3
ANKRD40_+_48785164.23-P1P2|ANKRD40_+_48785242.23-P1P2++ANKRD40_+_48785164.23-P1P2|ANKRD40_+_48785242.23-P1P2,1
ANKRD9_-_102976042.23-P1P2|ANKRD9_+_102976027.23-P1P2++ANKRD9_-_102976042.23-P1P2|ANKRD9_+_102976027.23-P1P2,3
ANXA3_+_79472940.23-P1P2|ANXA3_-_79472946.23-P1P2++ANXA3_+_79472940.23-P1P2|ANXA3_-_79472946.23-P1P2,1
AP2B1_-_33914780.23-P1P2|AP2B1_-_33914544.23-P1P2++AP2B1_-_33914780.23-P1P2|AP2B1_-_33914544.23-P1P2,1
