A1BG_+_58858964.23-P1|A1BG_-_58858788.23-P1++A1BG_+_58858964.23-P1|A1BG_-_58858788.23-P1,446
A1BG_-_58864840.23-P2|A1BG_-_58864822.23-P2++A1BG_-_58864840.23-P2|A1BG_-_58864822.23-P2,263
A1CF_+_52645339.23-P1P2|A1CF_-_52645373.23-P1P2++A1CF_+_52645339.23-P1P2|A1CF_-_52645373.23-P1P2,184
A2ML1_+_8975211.23-P1P2|A2ML1_-_8975593.23-P1P2++A2ML1_+_8975211.23-P1P2|A2ML1_-_8975593.23-P1P2,299
A2M_+_9268487.23-P1P2|A2M_+_9268495.23-P1P2++A2M_+_9268487.23-P1P2|A2M_+_9268495.23-P1P2,475
A3GALT2_+_33786659.23-ENST00000442999.3|A3GALT2_+_33786649.23-ENST00000442999.3++A3GALT2_+_33786659.23-ENST00000442999.3|A3GALT2_+_33786649.23-ENST00000442999.3,435
A4GALT_-_43116819.23-P1P2|A4GALT_+_43116792.23-P1P2++A4GALT_-_43116819.23-P1P2|A4GALT_+_43116792.23-P1P2,358
A4GNT_+_137851178.23-P1P2|A4GNT_-_137851117.23-P1P2++A4GNT_+_137851178.23-P1P2|A4GNT_-_137851117.23-P1P2,212
AAAS_-_53715438.23-P1P2|AAAS_+_53715355.23-P1P2++AAAS_-_53715438.23-P1P2|AAAS_+_53715355.23-P1P2,560
AACS_+_125549983.23-P1P2|AACS_-_125550169.23-P1P2++AACS_+_125549983.23-P1P2|AACS_-_125550169.23-P1P2,533
AADACL2_+_151451732.23-P1P2|AADACL2_+_151452121.23-P1P2++AADACL2_+_151451732.23-P1P2|AADACL2_+_151452121.23-P1P2,204
AADACL3_+_12776133.23-P1P2|AADACL3_+_12776213.23-P1P2++AADACL3_+_12776133.23-P1P2|AADACL3_+_12776213.23-P1P2,296
AADACL4_+_12704573.23-P1P2|AADACL4_+_12704601.23-P1P2++AADACL4_+_12704573.23-P1P2|AADACL4_+_12704601.23-P1P2,352
AADAC_-_151531954.23-P1P2|AADAC_-_151531939.23-P1P2++AADAC_-_151531954.23-P1P2|AADAC_-_151531939.23-P1P2,350
AADAT_-_171011368.23-P1P2|AADAT_+_171011325.23-P1P2++AADAT_-_171011368.23-P1P2|AADAT_+_171011325.23-P1P2,284
AAED1_-_99417574.23-P1P2|AAED1_+_99417525.23-P1P2++AAED1_-_99417574.23-P1P2|AAED1_+_99417525.23-P1P2,434
AAGAB_-_67546997.23-P1P2|AAGAB_-_67546928.23-P1P2++AAGAB_-_67546997.23-P1P2|AAGAB_-_67546928.23-P1P2,190
AAK1_-_69870791.23-P1P2|AAK1_-_69870794.23-P1P2++AAK1_-_69870791.23-P1P2|AAK1_-_69870794.23-P1P2,347
AAMDC_-_77532236.23-P1P2|AAMDC_-_77532222.23-P1P2++AAMDC_-_77532236.23-P1P2|AAMDC_-_77532222.23-P1P2,217
AAMP_+_219134851.23-P1P2|AAMP_+_219134841.23-P1P2++AAMP_+_219134851.23-P1P2|AAMP_+_219134841.23-P1P2,445
AANAT_-_74463789.23-P1P2|AANAT_+_74463735.23-P1P2++AANAT_-_74463789.23-P1P2|AANAT_+_74463735.23-P1P2,323
AAR2_-_34824434.23-P1P2|AAR2_+_34824488.23-P1P2++AAR2_-_34824434.23-P1P2|AAR2_+_34824488.23-P1P2,460
AARD_+_117950477.23-P1P2|AARD_+_117950489.23-P1P2++AARD_+_117950477.23-P1P2|AARD_+_117950489.23-P1P2,2
AARS2_+_44281027.23-P1P2|AARS2_+_44281044.23-P1P2++AARS2_+_44281027.23-P1P2|AARS2_+_44281044.23-P1P2,342
AARSD1_-_41116425.23-P1|AARSD1_+_41116412.23-P1++AARSD1_-_41116425.23-P1|AARSD1_+_41116412.23-P1,241
AARS_+_70323362.23-P1P2|AARS_-_70323332.23-P1P2++AARS_+_70323362.23-P1P2|AARS_-_70323332.23-P1P2,376
AASDH_-_57253588.23-P1P2|AASDH_+_57253570.23-P1P2++AASDH_-_57253588.23-P1P2|AASDH_+_57253570.23-P1P2,200
AASS_+_121784247.23-P1P2|AASS_+_121784219.23-P1P2++AASS_+_121784247.23-P1P2|AASS_+_121784219.23-P1P2,418
AATF_-_35306286.23-P1P2|AATF_-_35306346.23-P1P2++AATF_-_35306286.23-P1P2|AATF_-_35306346.23-P1P2,300
AATK_-_79139957.23-ENST00000326724.4|AATK_+_79139571.23-ENST00000326724.4++AATK_-_79139957.23-ENST00000326724.4|AATK_+_79139571.23-ENST00000326724.4,466
ABAT_+_8807464.23-P2|ABAT_+_8807450.23-P2++ABAT_+_8807464.23-P2|ABAT_+_8807450.23-P2,282
ABAT_-_8768533.23-P1|ABAT_-_8768504.23-P1++ABAT_-_8768533.23-P1|ABAT_-_8768504.23-P1,487
ABCA10_+_67224811.23-P1P2|ABCA10_-_67224823.23-P1P2++ABCA10_+_67224811.23-P1P2|ABCA10_-_67224823.23-P1P2,251
ABCA12_+_216003308.23-P1P2|ABCA12_+_216003314.23-P1P2++ABCA12_+_216003308.23-P1P2|ABCA12_+_216003314.23-P1P2,349
ABCA13_+_48211097.23-P1P2|ABCA13_-_48211093.23-P1P2++ABCA13_+_48211097.23-P1P2|ABCA13_-_48211093.23-P1P2,344
ABCA1_-_107690385.23-P1P2|ABCA1_-_107690389.23-P1P2++ABCA1_-_107690385.23-P1P2|ABCA1_-_107690389.23-P1P2,474
ABCA2_-_139922596.23-P1P2|ABCA2_+_139922669.23-P1P2++ABCA2_-_139922596.23-P1P2|ABCA2_+_139922669.23-P1P2,527
ABCA3_-_2390704.23-P1P2|ABCA3_+_2390336.23-P1P2++ABCA3_-_2390704.23-P1P2|ABCA3_+_2390336.23-P1P2,309
ABCA4_-_94586658.23-P1P2|ABCA4_+_94586668.23-P1P2++ABCA4_-_94586658.23-P1P2|ABCA4_+_94586668.23-P1P2,186
ABCA5_-_67323220.23-P1P2|ABCA5_+_67323191.23-P1P2++ABCA5_-_67323220.23-P1P2|ABCA5_+_67323191.23-P1P2,19
ABCA6_+_67138008.23-P1P2|ABCA6_+_67137842.23-P1P2++ABCA6_+_67138008.23-P1P2|ABCA6_+_67137842.23-P1P2,234
ABCA7_+_1041311.23-P2|ABCA7_-_1041459.23-P2++ABCA7_+_1041311.23-P2|ABCA7_-_1041459.23-P2,745
ABCA7_-_1040133.23-P1|ABCA7_+_1040185.23-P1++ABCA7_-_1040133.23-P1|ABCA7_+_1040185.23-P1,232
ABCA8_+_66951401.23-P1P2|ABCA8_-_66951525.23-P1P2++ABCA8_+_66951401.23-P1P2|ABCA8_-_66951525.23-P1P2,158
ABCA9_-_67057053.23-P1P2|ABCA9_+_67057085.23-P1P2++ABCA9_-_67057053.23-P1P2|ABCA9_+_67057085.23-P1P2,410
ABCB10_+_229694285.23-P1P2|ABCB10_-_229694297.23-P1P2++ABCB10_+_229694285.23-P1P2|ABCB10_-_229694297.23-P1P2,240
ABCB11_-_169887784.23-P1P2|ABCB11_-_169887796.23-P1P2++ABCB11_-_169887784.23-P1P2|ABCB11_-_169887796.23-P1P2,378
ABCB1_-_87342674.23-ENST00000265724.3|ABCB1_-_87342657.23-ENST00000265724.3++ABCB1_-_87342674.23-ENST00000265724.3|ABCB1_-_87342657.23-ENST00000265724.3,351
ABCB4_+_87104933.23-P1P2|ABCB4_-_87104975.23-P1P2++ABCB4_+_87104933.23-P1P2|ABCB4_-_87104975.23-P1P2,425
ABCB5_+_20687051.23-P1P2|ABCB5_+_20687242.23-P1P2++ABCB5_+_20687051.23-P1P2|ABCB5_+_20687242.23-P1P2,114
ABCB6_-_220083604.23-P1P2|ABCB6_+_220083613.23-P1P2++ABCB6_-_220083604.23-P1P2|ABCB6_+_220083613.23-P1P2,262
ABCB7_-_74376019.23-P1P2|ABCB7_+_74375885.23-P1P2++ABCB7_-_74376019.23-P1P2|ABCB7_+_74375885.23-P1P2,415
ABCB8_-_150725551.23-P1P2|ABCB8_-_150725580.23-P1P2++ABCB8_-_150725551.23-P1P2|ABCB8_-_150725580.23-P1P2,301
ABCB9_+_123450970.23-P1|ABCB9_-_123450999.23-P1++ABCB9_+_123450970.23-P1|ABCB9_-_123450999.23-P1,1776
ABCB9_-_123465699.23-P2|ABCB9_-_123465738.23-P2++ABCB9_-_123465699.23-P2|ABCB9_-_123465738.23-P2,333
ABCC10_+_43395315.23-P1P2|ABCC10_-_43395343.23-P1P2++ABCC10_+_43395315.23-P1P2|ABCC10_-_43395343.23-P1P2,286
ABCC11_+_48281428.23-P2|ABCC11_+_48281345.23-P2++ABCC11_+_48281428.23-P2|ABCC11_+_48281345.23-P2,198
ABCC11_-_48278125.23-P1|ABCC11_+_48278130.23-P1++ABCC11_-_48278125.23-P1|ABCC11_+_48278130.23-P1,200
ABCC12_-_48180643.23-ENST00000311303.3|ABCC12_-_48180648.23-ENST00000311303.3++ABCC12_-_48180643.23-ENST00000311303.3|ABCC12_-_48180648.23-ENST00000311303.3,179
ABCC1_+_16043647.23-P1P2|ABCC1_+_16043482.23-P1P2++ABCC1_+_16043647.23-P1P2|ABCC1_+_16043482.23-P1P2,419
ABCC2_+_101542981.23-P1P2|ABCC2_-_101542705.23-P1P2++ABCC2_+_101542981.23-P1P2|ABCC2_-_101542705.23-P1P2,237
ABCC3_+_48712270.23-P1P2|ABCC3_+_48712248.23-P1P2++ABCC3_+_48712270.23-P1P2|ABCC3_+_48712248.23-P1P2,424
ABCC4_+_95953430.23-P1P2|ABCC4_+_95953641.23-P1P2++ABCC4_+_95953430.23-P1P2|ABCC4_+_95953641.23-P1P2,365
ABCC5_-_183735467.23-P1P2|ABCC5_+_183735648.23-P1P2++ABCC5_-_183735467.23-P1P2|ABCC5_+_183735648.23-P1P2,486
ABCC6_-_16317247.23-ENST00000205557.7|ABCC6_-_16317344.23-ENST00000205557.7++ABCC6_-_16317247.23-ENST00000205557.7|ABCC6_-_16317344.23-ENST00000205557.7,351
ABCC8_+_17498387.23-P1P2|ABCC8_+_17498394.23-P1P2++ABCC8_+_17498387.23-P1P2|ABCC8_+_17498394.23-P1P2,471
ABCC9_+_22094309.23-P1P2|ABCC9_+_22094148.23-P1P2++ABCC9_+_22094309.23-P1P2|ABCC9_+_22094148.23-P1P2,620
ABCD1_-_152990338.23-P1P2|ABCD1_-_152990342.23-P1P2++ABCD1_-_152990338.23-P1P2|ABCD1_-_152990342.23-P1P2,255
ABCD2_+_40013594.23-P1P2|ABCD2_-_40013610.23-P1P2++ABCD2_+_40013594.23-P1P2|ABCD2_-_40013610.23-P1P2,207
ABCD3_+_94884002.23-P1P2|ABCD3_+_94884032.23-P1P2++ABCD3_+_94884002.23-P1P2|ABCD3_+_94884032.23-P1P2,298
ABCD4_+_74769611.23-P1P2|ABCD4_-_74769729.23-P1P2++ABCD4_+_74769611.23-P1P2|ABCD4_-_74769729.23-P1P2,554
ABCE1_-_146019502.23-P1P2|ABCE1_-_146019516.23-P1P2++ABCE1_-_146019502.23-P1P2|ABCE1_-_146019516.23-P1P2,216
