A1BG_+_58858964.23-P1|A1BG_-_58858788.23-P1++A1BG_+_58858964.23-P1|A1BG_-_58858788.23-P1,307
A1BG_-_58864840.23-P2|A1BG_-_58864822.23-P2++A1BG_-_58864840.23-P2|A1BG_-_58864822.23-P2,146
A1CF_+_52645339.23-P1P2|A1CF_-_52645373.23-P1P2++A1CF_+_52645339.23-P1P2|A1CF_-_52645373.23-P1P2,140
A2ML1_+_8975211.23-P1P2|A2ML1_-_8975593.23-P1P2++A2ML1_+_8975211.23-P1P2|A2ML1_-_8975593.23-P1P2,152
A2M_+_9268487.23-P1P2|A2M_+_9268495.23-P1P2++A2M_+_9268487.23-P1P2|A2M_+_9268495.23-P1P2,303
A3GALT2_+_33786659.23-ENST00000442999.3|A3GALT2_+_33786649.23-ENST00000442999.3++A3GALT2_+_33786659.23-ENST00000442999.3|A3GALT2_+_33786649.23-ENST00000442999.3,307
A4GALT_-_43116819.23-P1P2|A4GALT_+_43116792.23-P1P2++A4GALT_-_43116819.23-P1P2|A4GALT_+_43116792.23-P1P2,160
A4GNT_+_137851178.23-P1P2|A4GNT_-_137851117.23-P1P2++A4GNT_+_137851178.23-P1P2|A4GNT_-_137851117.23-P1P2,105
AAAS_-_53715438.23-P1P2|AAAS_+_53715355.23-P1P2++AAAS_-_53715438.23-P1P2|AAAS_+_53715355.23-P1P2,274
AACS_+_125549983.23-P1P2|AACS_-_125550169.23-P1P2++AACS_+_125549983.23-P1P2|AACS_-_125550169.23-P1P2,285
AADACL2_+_151451732.23-P1P2|AADACL2_+_151452121.23-P1P2++AADACL2_+_151451732.23-P1P2|AADACL2_+_151452121.23-P1P2,207
AADACL3_+_12776133.23-P1P2|AADACL3_+_12776213.23-P1P2++AADACL3_+_12776133.23-P1P2|AADACL3_+_12776213.23-P1P2,215
AADACL4_+_12704573.23-P1P2|AADACL4_+_12704601.23-P1P2++AADACL4_+_12704573.23-P1P2|AADACL4_+_12704601.23-P1P2,177
AADAC_-_151531954.23-P1P2|AADAC_-_151531939.23-P1P2++AADAC_-_151531954.23-P1P2|AADAC_-_151531939.23-P1P2,232
AADAT_-_171011368.23-P1P2|AADAT_+_171011325.23-P1P2++AADAT_-_171011368.23-P1P2|AADAT_+_171011325.23-P1P2,225
AAED1_-_99417574.23-P1P2|AAED1_+_99417525.23-P1P2++AAED1_-_99417574.23-P1P2|AAED1_+_99417525.23-P1P2,273
AAGAB_-_67546997.23-P1P2|AAGAB_-_67546928.23-P1P2++AAGAB_-_67546997.23-P1P2|AAGAB_-_67546928.23-P1P2,197
AAK1_-_69870791.23-P1P2|AAK1_-_69870794.23-P1P2++AAK1_-_69870791.23-P1P2|AAK1_-_69870794.23-P1P2,306
AAMDC_-_77532236.23-P1P2|AAMDC_-_77532222.23-P1P2++AAMDC_-_77532236.23-P1P2|AAMDC_-_77532222.23-P1P2,243
AAMP_+_219134851.23-P1P2|AAMP_+_219134841.23-P1P2++AAMP_+_219134851.23-P1P2|AAMP_+_219134841.23-P1P2,242
AANAT_-_74463789.23-P1P2|AANAT_+_74463735.23-P1P2++AANAT_-_74463789.23-P1P2|AANAT_+_74463735.23-P1P2,193
AAR2_-_34824434.23-P1P2|AAR2_+_34824488.23-P1P2++AAR2_-_34824434.23-P1P2|AAR2_+_34824488.23-P1P2,308
AARS2_+_44281027.23-P1P2|AARS2_+_44281044.23-P1P2++AARS2_+_44281027.23-P1P2|AARS2_+_44281044.23-P1P2,302
AARSD1_-_41116425.23-P1|AARSD1_+_41116412.23-P1++AARSD1_-_41116425.23-P1|AARSD1_+_41116412.23-P1,186
AARS_+_70323362.23-P1P2|AARS_-_70323332.23-P1P2++AARS_+_70323362.23-P1P2|AARS_-_70323332.23-P1P2,217
AASDH_-_57253588.23-P1P2|AASDH_+_57253570.23-P1P2++AASDH_-_57253588.23-P1P2|AASDH_+_57253570.23-P1P2,180
AASS_+_121784247.23-P1P2|AASS_+_121784219.23-P1P2++AASS_+_121784247.23-P1P2|AASS_+_121784219.23-P1P2,320
AATF_-_35306286.23-P1P2|AATF_-_35306346.23-P1P2++AATF_-_35306286.23-P1P2|AATF_-_35306346.23-P1P2,235
AATK_-_79139957.23-ENST00000326724.4|AATK_+_79139571.23-ENST00000326724.4++AATK_-_79139957.23-ENST00000326724.4|AATK_+_79139571.23-ENST00000326724.4,245
ABAT_+_8807464.23-P2|ABAT_+_8807450.23-P2++ABAT_+_8807464.23-P2|ABAT_+_8807450.23-P2,217
ABAT_-_8768533.23-P1|ABAT_-_8768504.23-P1++ABAT_-_8768533.23-P1|ABAT_-_8768504.23-P1,237
ABCA10_+_67224811.23-P1P2|ABCA10_-_67224823.23-P1P2++ABCA10_+_67224811.23-P1P2|ABCA10_-_67224823.23-P1P2,178
ABCA12_+_216003308.23-P1P2|ABCA12_+_216003314.23-P1P2++ABCA12_+_216003308.23-P1P2|ABCA12_+_216003314.23-P1P2,285
ABCA13_+_48211097.23-P1P2|ABCA13_-_48211093.23-P1P2++ABCA13_+_48211097.23-P1P2|ABCA13_-_48211093.23-P1P2,184
ABCA1_-_107690385.23-P1P2|ABCA1_-_107690389.23-P1P2++ABCA1_-_107690385.23-P1P2|ABCA1_-_107690389.23-P1P2,254
ABCA2_-_139922596.23-P1P2|ABCA2_+_139922669.23-P1P2++ABCA2_-_139922596.23-P1P2|ABCA2_+_139922669.23-P1P2,396
ABCA3_-_2390704.23-P1P2|ABCA3_+_2390336.23-P1P2++ABCA3_-_2390704.23-P1P2|ABCA3_+_2390336.23-P1P2,230
ABCA4_-_94586658.23-P1P2|ABCA4_+_94586668.23-P1P2++ABCA4_-_94586658.23-P1P2|ABCA4_+_94586668.23-P1P2,95
ABCA5_-_67323220.23-P1P2|ABCA5_+_67323191.23-P1P2++ABCA5_-_67323220.23-P1P2|ABCA5_+_67323191.23-P1P2,6
